,Time;durP1;ratioP1;P1;durP2;ratioP2;P2;SDS_P1;SDS_P2;PMS_P1;PMS_P2;Temp;Humidity;BMP_temperature;BMP_pressure;BME280_temperature;BME280_humidity;BME280_pressure;Samples;Min_cycle;Max_cycle;Signal;HPM_P1;HPM_P2
108,2021/07/27 04:47:17;;;;;;;7.28;4.75;;;23.70;68.50;;;;;;5092749;28;20038;-55
109,2021/07/27 04:49:46;;;;;;;5.35;4.57;;;23.70;68.40;;;;;;5091894;28;20393;-55
110,2021/07/27 04:52:15;;;;;;;5.82;5.22;;;23.80;68.50;;;;;;5092167;28;20067;-54
111,2021/07/27 04:54:50;;;;;;;7.35;6.25;;;23.80;68.60;;;;;;5074511;28;20055;-50
112,2021/07/27 04:57:16;;;;;;;5.88;5.28;;;23.80;69.30;;;;;;5092723;28;20093;-49
113,2021/07/27 04:59:41;;;;;;;6.00;5.40;;;23.80;69.20;;;;;;5093918;28;20020;-53
114,2021/07/27 05:02:07;;;;;;;7.20;5.85;;;23.80;69.40;;;;;;5092025;28;20038;-52
115,2021/07/27 05:04:34;;;;;;;8.82;5.90;;;23.80;69.50;;;;;;5074081;28;20157;-53
116,2021/07/27 05:07:02;;;;;;;6.38;5.32;;;23.90;69.50;;;;;;5092223;28;20029;-56
117,2021/07/27 05:09:27;;;;;;;5.97;5.32;;;23.90;69.60;;;;;;5057503;28;20095;-51
118,2021/07/27 05:11:57;;;;;;;7.72;5.40;;;23.90;69.50;;;;;;5091564;28;20032;-55
119,2021/07/27 05:14:23;;;;;;;6.15;5.28;;;23.90;69.50;;;;;;5091625;28;20063;-52
120,2021/07/27 05:16:48;;;;;;;6.30;5.15;;;23.90;69.40;;;;;;5073506;28;20126;-48
121,2021/07/27 05:19:13;;;;;;;7.13;5.28;;;24.00;69.30;;;;;;5087694;28;20037;-51
122,2021/07/27 05:21:40;;;;;;;6.07;4.90;;;24.00;69.10;;;;;;5071697;28;20029;-50
123,2021/07/27 05:24:05;;;;;;;5.22;4.60;;;24.10;69.00;;;;;;5071730;28;20017;-49
124,2021/07/27 05:26:31;;;;;;;6.43;5.10;;;24.10;68.90;;;;;;5087396;28;20033;-54
125,2021/07/27 05:28:56;;;;;;;5.38;4.88;;;24.10;68.80;;;;;;5071784;28;20063;-53
126,2021/07/27 05:31:25;;;;;;;8.00;4.88;;;24.20;68.70;;;;;;5071632;28;20024;-52
127,2021/07/27 05:33:50;;;;;;;5.70;4.90;;;24.20;68.50;;;;;;5071983;28;20483;-50
128,2021/07/27 05:36:16;;;;;;;5.72;5.00;;;24.20;68.50;;;;;;5085093;28;20035;-50
129,2021/07/27 05:38:41;;;;;;;5.50;4.70;;;24.20;68.40;;;;;;5091973;28;20020;-53
130,2021/07/27 05:41:07;;;;;;;7.57;5.05;;;24.20;68.30;;;;;;5091606;28;20028;-47
131,2021/07/27 05:43:32;;;;;;;6.90;4.72;;;24.20;68.30;;;;;;5091632;28;20046;-52
132,2021/07/27 05:45:58;;;;;;;5.40;4.90;;;24.20;68.20;;;;;;5092064;28;20023;-53
133,2021/07/27 05:48:23;;;;;;;4.65;4.07;;;24.30;68.20;;;;;;5092351;28;20044;-54
134,2021/07/27 05:50:50;;;;;;;5.68;4.43;;;24.30;68.20;;;;;;5092790;28;20027;-54
135,2021/07/27 05:53:16;;;;;;;5.03;4.53;;;24.20;68.10;;;;;;5091900;28;20103;-53
136,2021/07/27 05:55:41;;;;;;;5.75;4.20;;;24.30;68.10;;;;;;5091847;28;20161;-54
137,2021/07/27 05:58:07;;;;;;;5.28;4.78;;;24.30;68.10;;;;;;5091745;28;20032;-53
138,2021/07/27 06:00:35;;;;;;;5.07;4.57;;;24.30;68.10;;;;;;5091653;28;20020;-52
139,2021/07/27 06:03:04;;;;;;;4.85;4.35;;;24.30;68.00;;;;;;5091643;28;20035;-48
140,2021/07/27 06:05:30;;;;;;;5.82;4.30;;;24.30;68.00;;;;;;5091657;28;20028;-52
141,2021/07/27 06:07:55;;;;;;;5.57;4.10;;;24.30;68.00;;;;;;5091681;28;20035;-53
142,2021/07/27 06:10:21;;;;;;;5.80;4.40;;;24.30;67.90;;;;;;5091666;28;20135;-53
143,2021/07/27 06:12:46;;;;;;;4.53;4.03;;;24.30;67.90;;;;;;5091523;28;20429;-49
144,2021/07/27 06:15:12;;;;;;;5.05;4.32;;;24.30;67.90;;;;;;5091637;28;20028;-51
145,2021/07/27 06:17:37;;;;;;;6.95;4.50;;;24.30;67.90;;;;;;5091645;28;20091;-54
146,2021/07/27 06:20:03;;;;;;;4.72;4.22;;;24.30;67.90;;;;;;5089836;28;20023;-52
147,2021/07/27 06:22:29;;;;;;;4.53;4.00;;;24.30;67.80;;;;;;5072270;28;20020;-53
148,2021/07/27 06:24:55;;;;;;;5.80;4.82;;;24.30;67.80;;;;;;5071830;28;20027;-54
149,2021/07/27 06:27:21;;;;;;;5.40;4.13;;;24.30;67.80;;;;;;5072073;28;20032;-58
150,2021/07/27 06:29:46;;;;;;;5.10;4.00;;;24.30;67.80;;;;;;5093038;28;20451;-55
151,2021/07/27 06:32:11;;;;;;;5.10;4.60;;;24.30;67.80;;;;;;5075560;28;20059;-54
152,2021/07/27 06:34:37;;;;;;;5.60;4.40;;;24.30;67.80;;;;;;5093780;28;20024;-49
153,2021/07/27 06:37:03;;;;;;;5.60;4.75;;;24.30;67.70;;;;;;5075756;28;20020;-50
154,2021/07/27 06:39:31;;;;;;;5.13;3.92;;;24.40;67.80;;;;;;5093537;28;20020;-51
155,2021/07/27 06:41:57;;;;;;;4.32;3.90;;;24.40;67.90;;;;;;5093076;28;20509;-52
156,2021/07/27 06:44:22;;;;;;;4.97;3.72;;;24.30;67.90;;;;;;5093350;28;20103;-50
157,2021/07/27 06:46:48;;;;;;;7.50;4.65;;;24.40;67.90;;;;;;5093873;28;20051;-56
158,2021/07/27 06:49:15;;;;;;;7.07;4.30;;;24.40;67.80;;;;;;5095011;28;20483;-53
159,2021/07/27 06:51:41;;;;;;;6.00;4.35;;;24.40;67.40;;;;;;5109035;28;20028;-55
160,2021/07/27 06:54:08;;;;;;;4.50;3.92;;;24.40;67.50;;;;;;5094306;28;20024;-55
161,2021/07/27 06:56:34;;;;;;;5.75;4.15;;;24.40;67.50;;;;;;5094643;28;20032;-51
162,2021/07/27 06:59:01;;;;;;;6.28;4.50;;;24.40;67.50;;;;;;5094452;28;20476;-57
163,2021/07/27 07:01:26;;;;;;;5.80;5.10;;;24.40;67.60;;;;;;5094427;28;20020;-56
164,2021/07/27 07:03:52;;;;;;;5.93;4.38;;;24.40;67.60;;;;;;5094151;28;20034;-58
165,2021/07/27 07:06:18;;;;;;;6.47;5.13;;;24.50;67.60;;;;;;5094467;28;20024;-58
166,2021/07/27 07:08:43;;;;;;;5.25;4.57;;;24.50;67.60;;;;;;5076303;28;20024;-59
167,2021/07/27 07:11:10;;;;;;;5.55;4.93;;;24.50;67.50;;;;;;5094250;28;20085;-58
168,2021/07/27 07:13:36;;;;;;;5.53;4.68;;;24.50;67.40;;;;;;5076273;28;20036;-57
169,2021/07/27 07:16:06;;;;;;;5.30;4.45;;;24.60;67.40;;;;;;5075858;28;20032;-49
170,2021/07/27 07:18:32;;;;;;;6.40;4.95;;;24.60;67.30;;;;;;5093801;28;20369;-51
171,2021/07/27 07:20:57;;;;;;;5.75;4.90;;;24.60;67.10;;;;;;5094094;28;20034;-54
172,2021/07/27 07:23:23;;;;;;;5.95;4.80;;;24.60;67.30;;;;;;5093698;28;20035;-54
173,2021/07/27 07:25:50;;;;;;;7.90;5.00;;;24.70;67.20;;;;;;5093428;28;20028;-53
174,2021/07/27 07:28:16;;;;;;;5.80;4.88;;;24.70;67.10;;;;;;5093288;28;20032;-52
175,2021/07/27 07:30:42;;;;;;;8.15;5.10;;;24.70;66.90;;;;;;5093798;28;20459;-53
176,2021/07/27 07:33:07;;;;;;;6.55;5.45;;;24.70;66.70;;;;;;5093476;28;20028;-54
177,2021/07/27 07:35:33;;;;;;;7.25;5.75;;;24.70;66.80;;;;;;5073347;28;20051;-53
178,2021/07/27 07:37:58;;;;;;;7.10;5.65;;;24.70;66.80;;;;;;5075572;28;20055;-51
179,2021/07/27 07:40:24;;;;;;;6.78;5.60;;;24.70;66.60;;;;;;5093696;28;20472;-53
180,2021/07/27 07:42:49;;;;;;;10.05;6.07;;;24.80;66.40;;;;;;5093647;28;20024;-55
181,2021/07/27 07:45:15;;;;;;;7.30;5.70;;;24.70;66.60;;;;;;5076154;28;20024;-52
182,2021/07/27 07:47:42;;;;;;;7.50;5.70;;;24.80;67.10;;;;;;5094004;28;20499;-55
183,2021/07/27 07:50:08;;;;;;;7.65;5.47;;;24.80;67.00;;;;;;5076305;28;20552;-54
184,2021/07/27 07:52:34;;;;;;;8.10;5.28;;;24.80;66.80;;;;;;5093507;28;20199;-54
185,2021/07/27 07:55:07;;;;;;;5.97;4.93;;;24.80;66.70;;;;;;5075222;28;20186;-56
186,2021/07/27 07:57:32;;;;;;;6.75;4.90;;;24.80;66.50;;;;;;5076094;28;20020;-55
187,2021/07/27 08:00:00;;;;;;;6.35;5.03;;;24.80;66.40;;;;;;5091844;28;20131;-55
188,2021/07/27 08:02:29;;;;;;;5.50;4.80;;;24.90;66.20;;;;;;5074036;28;20482;-54
189,2021/07/27 08:04:54;;;;;;;6.70;5.20;;;25.00;66.10;;;;;;5091661;28;20028;-55
190,2021/07/27 08:07:20;;;;;;;6.75;4.85;;;25.00;65.90;;;;;;5091445;28;20027;-56
191,2021/07/27 08:09:46;;;;;;;6.80;5.38;;;25.00;65.80;;;;;;5091434;28;20024;-56
192,2021/07/27 08:12:13;;;;;;;6.32;4.70;;;25.00;65.70;;;;;;5091388;28;20169;-57
193,2021/07/27 08:14:38;;;;;;;5.25;4.65;;;25.00;65.60;;;;;;5093058;28;20035;-55
194,2021/07/27 08:17:04;;;;;;;7.40;5.13;;;25.00;65.50;;;;;;5093436;28;20429;-52
195,2021/07/27 08:19:31;;;;;;;6.03;4.85;;;25.00;65.50;;;;;;5093349;28;20096;-50
196,2021/07/27 08:21:57;;;;;;;7.05;5.18;;;25.00;65.50;;;;;;5093042;28;20024;-59
197,2021/07/27 08:24:24;;;;;;;5.32;4.78;;;25.00;65.50;;;;;;5093013;28;20534;-55
198,2021/07/27 08:26:50;;;;;;;8.85;5.13;;;25.10;65.40;;;;;;5092952;28;20111;-50
199,2021/07/27 08:29:15;;;;;;;6.10;4.57;;;25.10;65.30;;;;;;5074820;28;20111;-53
200,2021/07/27 08:31:42;;;;;;;9.98;6.10;;;25.10;65.10;;;;;;5092735;28;20020;-50
201,2021/07/27 08:34:07;;;;;;;15.10;7.30;;;25.10;64.30;;;;;;5075017;28;20035;-53
202,2021/07/27 08:36:33;;;;;;;9.68;6.72;;;25.10;63.60;;;;;;5074563;28;20036;-54
203,2021/07/27 08:38:58;;;;;;;11.75;6.97;;;25.00;63.50;;;;;;5074442;28;20020;-53
204,2021/07/27 08:41:25;;;;;;;10.80;6.72;;;25.10;63.30;;;;;;5092574;28;20028;-53
205,2021/07/27 08:43:51;;;;;;;12.95;7.47;;;25.00;63.10;;;;;;5074537;28;20035;-53
206,2021/07/27 08:46:16;;;;;;;11.43;7.78;;;25.00;63.10;;;;;;5092503;28;20020;-53
207,2021/07/27 08:48:42;;;;;;;8.45;6.47;;;25.00;63.00;;;;;;5074396;28;20020;-49
208,2021/07/27 08:51:08;;;;;;;10.68;7.07;;;25.00;62.90;;;;;;5073859;28;20340;-56
209,2021/07/27 08:53:33;;;;;;;9.23;6.45;;;25.00;62.80;;;;;;5092454;28;20035;-51
210,2021/07/27 08:55:59;;;;;;;9.63;6.82;;;25.00;62.70;;;;;;5092200;28;20058;-53
211,2021/07/27 08:58:25;;;;;;;9.82;7.18;;;25.00;62.60;;;;;;5092455;28;20024;-55
212,2021/07/27 09:00:50;;;;;;;9.32;6.70;;;25.10;62.60;;;;;;5092140;28;20107;-55
213,2021/07/27 09:03:18;;;;;;;9.60;6.22;;;25.10;62.70;;;;;;5092445;28;20032;-56
214,2021/07/27 09:05:44;;;;;;;9.05;6.30;;;25.20;62.80;;;;;;5074206;28;20081;-54
