,Time;durP1;ratioP1;P1;durP2;ratioP2;P2;SDS_P1;SDS_P2;PMS_P1;PMS_P2;Temp;Humidity;BMP_temperature;BMP_pressure;BME280_temperature;BME280_humidity;BME280_pressure;Samples;Min_cycle;Max_cycle;Signal;HPM_P1;HPM_P2
731,2021/08/07 06:40:28;;;;;;;2.55;1.90;;;22.60;65.60;;;;;;5068879;28;20055;-52
732,2021/08/07 06:42:54;;;;;;;3.13;1.95;;;22.60;65.50;;;;;;5069967;28;20498;-56
733,2021/08/07 06:45:19;;;;;;;2.67;1.85;;;22.70;65.40;;;;;;5068821;28;20029;-55
734,2021/08/07 06:47:45;;;;;;;2.80;2.10;;;22.70;65.40;;;;;;5068473;28;20037;-56
735,2021/08/07 06:50:10;;;;;;;2.08;1.70;;;22.80;65.30;;;;;;5070118;28;20419;-56
736,2021/08/07 06:52:36;;;;;;;2.60;1.88;;;22.70;65.30;;;;;;5069815;28;20029;-55
737,2021/08/07 06:55:02;;;;;;;3.55;2.03;;;22.70;65.40;;;;;;5069940;28;20024;-56
738,2021/08/07 06:57:27;;;;;;;3.05;1.90;;;22.70;65.30;;;;;;5069850;28;20043;-52
739,2021/08/07 06:59:53;;;;;;;3.35;2.00;;;22.70;65.30;;;;;;5068814;28;20071;-54
740,2021/08/07 07:02:19;;;;;;;2.75;1.80;;;22.80;65.30;;;;;;5067707;28;20033;-51
741,2021/08/07 07:04:44;;;;;;;2.65;2.00;;;22.80;65.20;;;;;;5068415;28;20154;-54
742,2021/08/07 07:07:10;;;;;;;5.65;2.22;;;22.80;65.20;;;;;;5068522;28;20029;-49
743,2021/08/07 07:09:38;;;;;;;2.53;1.90;;;22.80;65.10;;;;;;5067377;28;20025;-56
744,2021/08/07 07:12:04;;;;;;;2.35;1.90;;;22.80;65.00;;;;;;5068563;28;20036;-54
745,2021/08/07 07:14:29;;;;;;;4.10;2.13;;;22.80;64.90;;;;;;5068716;28;20025;-50
746,2021/08/07 07:16:55;;;;;;;3.30;1.90;;;22.90;64.80;;;;;;5068492;28;20795;-49
747,2021/08/07 07:19:20;;;;;;;2.60;2.15;;;22.90;64.70;;;;;;5068292;28;20025;-49
748,2021/08/07 07:21:46;;;;;;;2.72;1.63;;;22.90;64.60;;;;;;5066924;28;20056;-51
749,2021/08/07 07:24:11;;;;;;;3.70;1.83;;;23.00;64.50;;;;;;5068207;28;20027;-51
750,2021/08/07 07:26:37;;;;;;;2.13;1.65;;;23.00;64.40;;;;;;5067905;28;20061;-52
751,2021/08/07 07:29:02;;;;;;;2.38;2.00;;;23.00;64.30;;;;;;5066978;28;20443;-55
752,2021/08/07 07:31:28;;;;;;;2.95;1.90;;;23.10;64.20;;;;;;5068060;28;20086;-55
753,2021/08/07 07:33:54;;;;;;;3.65;1.65;;;23.10;64.10;;;;;;5068104;28;20408;-51
754,2021/08/07 07:36:19;;;;;;;2.40;1.65;;;23.10;64.10;;;;;;5068239;28;20365;-49
755,2021/08/07 07:38:45;;;;;;;2.92;1.73;;;23.20;64.00;;;;;;5059449;28;20523;-54
756,2021/08/07 07:41:11;;;;;;;3.83;1.80;;;23.20;63.90;;;;;;5054207;28;20392;-53
757,2021/08/07 07:43:37;;;;;;;1.92;1.67;;;23.30;64.10;;;;;;5054535;28;20021;-54
758,2021/08/07 07:46:03;;;;;;;2.25;1.90;;;23.30;64.20;;;;;;5049387;28;20036;-53
759,2021/08/07 07:48:28;;;;;;;2.40;1.60;;;23.30;64.50;;;;;;5051994;28;20021;-55
760,2021/08/07 07:50:54;;;;;;;4.50;1.75;;;23.30;64.70;;;;;;5053656;28;20495;-53
761,2021/08/07 07:53:19;;;;;;;3.30;1.80;;;23.30;65.40;;;;;;5052219;28;20044;-55
762,2021/08/07 07:55:45;;;;;;;4.38;1.88;;;23.30;65.60;;;;;;5053543;28;20028;-55
763,2021/08/07 07:58:10;;;;;;;2.33;1.90;;;23.30;65.80;;;;;;5053421;28;20029;-50
764,2021/08/07 08:00:36;;;;;;;2.95;1.85;;;23.40;65.70;;;;;;5053338;28;20514;-53
765,2021/08/07 08:03:01;;;;;;;1.90;1.52;;;23.40;65.50;;;;;;5053057;28;20032;-54
766,2021/08/07 08:05:27;;;;;;;2.88;1.75;;;23.50;65.50;;;;;;5053244;28;20107;-54
767,2021/08/07 08:07:52;;;;;;;2.25;1.60;;;23.50;65.30;;;;;;5050158;28;20036;-54
768,2021/08/07 08:10:18;;;;;;;3.42;1.90;;;23.50;65.00;;;;;;5053108;28;20408;-51
769,2021/08/07 08:12:44;;;;;;;2.80;1.55;;;23.50;64.90;;;;;;5052719;28;20104;-54
770,2021/08/07 08:15:10;;;;;;;2.72;1.67;;;23.50;64.80;;;;;;5053082;28;20009;-54
771,2021/08/07 08:17:36;;;;;;;3.13;1.90;;;23.60;64.60;;;;;;5052019;28;20024;-51
772,2021/08/07 08:20:01;;;;;;;3.03;1.73;;;23.60;64.50;;;;;;5052860;28;20090;-54
773,2021/08/07 08:22:27;;;;;;;2.70;1.90;;;23.60;64.40;;;;;;5052878;28;20033;-57
774,2021/08/07 08:24:52;;;;;;;2.38;1.60;;;23.60;64.20;;;;;;5052641;28;20029;-56
775,2021/08/07 08:27:20;;;;;;;3.05;1.90;;;23.60;64.10;;;;;;5051296;28;20515;-53
776,2021/08/07 08:29:46;;;;;;;3.17;2.00;;;23.60;64.10;;;;;;5052829;28;20018;-56
777,2021/08/07 08:32:12;;;;;;;2.05;1.70;;;23.70;64.00;;;;;;5051583;28;20029;-56
778,2021/08/07 08:34:37;;;;;;;2.55;1.67;;;23.70;63.80;;;;;;5051860;28;20029;-53
779,2021/08/07 08:37:03;;;;;;;2.88;1.80;;;23.80;63.70;;;;;;5052447;28;20472;-51
780,2021/08/07 08:39:28;;;;;;;2.40;1.73;;;23.80;63.60;;;;;;5051477;28;20060;-55
781,2021/08/07 08:41:54;;;;;;;2.90;1.95;;;23.80;63.60;;;;;;5052416;28;20033;-52
782,2021/08/07 08:44:19;;;;;;;2.47;1.73;;;23.80;63.60;;;;;;5051556;28;20476;-52
783,2021/08/07 08:46:45;;;;;;;3.20;1.90;;;23.70;63.50;;;;;;5050879;28;20136;-55
784,2021/08/07 08:49:16;;;;;;;3.50;1.83;;;23.80;63.50;;;;;;5051220;28;20017;-53
785,2021/08/07 08:51:43;;;;;;;6.35;1.90;;;23.80;63.40;;;;;;5052388;28;20025;-53
786,2021/08/07 08:54:09;;;;;;;5.32;2.88;;;23.80;63.50;;;;;;5052915;28;20469;-54
787,2021/08/07 08:56:36;;;;;;;5.13;2.47;;;23.80;64.40;;;;;;5052645;28;20037;-55
788,2021/08/07 08:59:02;;;;;;;5.72;3.55;;;23.90;65.90;;;;;;5051302;28;20036;-52
789,2021/08/07 09:01:28;;;;;;;7.25;4.57;;;23.90;68.80;;;;;;5052847;28;20033;-52
790,2021/08/07 09:03:53;;;;;;;6.10;4.15;;;24.00;71.00;;;;;;5051664;28;20028;-55
791,2021/08/07 09:06:19;;;;;;;7.22;4.25;;;24.00;73.20;;;;;;5051247;28;20504;-55
792,2021/08/07 09:09:10;;;;;;;7.13;4.68;;;24.00;73.00;;;;;;5052438;28;20103;-55
793,2021/08/07 09:11:36;;;;;;;6.40;3.75;;;24.10;72.50;;;;;;5051451;28;20029;-55
794,2021/08/07 09:14:22;;;;;;;5.75;4.00;;;24.10;72.00;;;;;;5051852;28;20025;-57
795,2021/08/07 09:17:08;;;;;;;5.93;4.10;;;24.20;71.40;;;;;;5051268;28;20037;-54
796,2021/08/07 09:19:39;;;;;;;8.90;3.70;;;24.20;70.50;;;;;;5052454;28;20036;-55
797,2021/08/07 09:22:06;;;;;;;6.88;3.50;;;24.20;69.50;;;;;;5052355;28;20040;-54
798,2021/08/07 09:24:34;;;;;;;4.13;2.88;;;24.30;68.70;;;;;;5051467;28;20546;-55
799,2021/08/07 09:27:04;;;;;;;4.28;3.17;;;24.30;68.20;;;;;;5050966;28;20488;-57
800,2021/08/07 09:29:36;;;;;;;6.88;3.30;;;24.30;68.00;;;;;;5050770;28;20550;-57
801,2021/08/07 09:32:01;;;;;;;3.90;2.63;;;24.30;67.50;;;;;;5034427;28;20032;-54
802,2021/08/07 09:34:27;;;;;;;5.63;2.88;;;24.30;66.70;;;;;;5050582;28;20119;-55
803,2021/08/07 09:36:56;;;;;;;5.40;2.60;;;24.30;66.90;;;;;;5051930;28;20033;-56
804,2021/08/07 09:39:41;;;;;;;4.60;2.30;;;24.30;66.60;;;;;;5051911;28;20479;-55
805,2021/08/07 09:42:07;;;;;;;3.10;2.28;;;24.40;66.30;;;;;;5051923;28;20385;-50
806,2021/08/07 09:44:32;;;;;;;3.75;2.10;;;24.30;66.10;;;;;;5050986;28;20083;-56
807,2021/08/07 09:47:12;;;;;;;5.07;2.10;;;24.30;65.70;;;;;;5050624;28;20060;-53
808,2021/08/07 09:49:43;;;;;;;4.03;2.20;;;24.40;65.50;;;;;;5052084;28;20101;-52
809,2021/08/07 09:52:09;;;;;;;3.38;2.15;;;24.40;65.30;;;;;;5051899;28;20025;-53
810,2021/08/07 09:54:39;;;;;;;4.03;2.00;;;24.40;65.30;;;;;;5049824;28;20040;-49
811,2021/08/07 09:57:05;;;;;;;2.17;1.75;;;24.40;65.00;;;;;;5050298;28;20040;-56
812,2021/08/07 09:59:30;;;;;;;3.70;2.47;;;24.40;64.80;;;;;;5051651;28;20021;-57
813,2021/08/07 10:01:56;;;;;;;4.35;2.08;;;24.40;64.80;;;;;;5051256;28;20099;-58
814,2021/08/07 10:04:22;;;;;;;2.60;2.00;;;24.50;64.50;;;;;;5050576;28;20079;-56
815,2021/08/07 10:06:48;;;;;;;3.33;1.90;;;24.50;64.20;;;;;;5033706;28;20423;-57
816,2021/08/07 10:09:13;;;;;;;2.35;1.70;;;24.50;64.10;;;;;;5051628;28;20029;-56
817,2021/08/07 10:11:39;;;;;;;2.95;1.88;;;24.50;63.80;;;;;;5051456;28;20483;-56
818,2021/08/07 10:14:05;;;;;;;2.47;1.75;;;24.60;63.70;;;;;;5051503;28;20025;-55
819,2021/08/07 10:16:32;;;;;;;2.40;1.70;;;24.60;63.50;;;;;;5051316;28;20461;-58
820,2021/08/07 10:18:57;;;;;;;2.80;1.50;;;24.60;63.20;;;;;;5051676;28;20028;-57
821,2021/08/07 10:21:23;;;;;;;3.53;1.77;;;24.60;63.10;;;;;;5050190;28;20431;-49
822,2021/08/07 10:23:51;;;;;;;3.88;1.80;;;24.60;63.00;;;;;;5051466;28;20036;-56
823,2021/08/07 10:26:19;;;;;;;2.67;1.80;;;24.60;63.00;;;;;;5051360;28;20081;-55
824,2021/08/07 10:28:52;;;;;;;3.05;1.75;;;24.60;63.00;;;;;;5051355;28;20029;-50
825,2021/08/07 10:31:20;;;;;;;2.17;1.77;;;24.50;63.30;;;;;;5051229;28;20433;-51
826,2021/08/07 10:33:46;;;;;;;2.33;1.70;;;24.50;63.10;;;;;;5050321;28;20476;-53
827,2021/08/07 10:36:13;;;;;;;2.20;1.92;;;24.50;63.20;;;;;;5050163;28;20028;-52
828,2021/08/07 10:38:38;;;;;;;3.05;1.80;;;24.50;63.00;;;;;;5051118;28;20020;-54
829,2021/08/07 10:41:04;;;;;;;3.58;1.50;;;24.50;62.90;;;;;;5051115;28;20021;-50
830,2021/08/07 10:43:33;;;;;;;4.68;1.90;;;24.50;62.60;;;;;;5033062;28;20036;-50
831,2021/08/07 10:45:59;;;;;;;2.63;1.90;;;24.60;62.50;;;;;;5051205;28;20063;-50
832,2021/08/07 10:48:39;;;;;;;3.63;1.85;;;24.60;62.40;;;;;;5049902;28;20099;-51
833,2021/08/07 10:51:23;;;;;;;3.13;1.80;;;24.70;62.30;;;;;;5049838;28;20080;-50
834,2021/08/07 10:53:49;;;;;;;2.10;1.65;;;24.70;62.10;;;;;;5051143;28;20037;-53
835,2021/08/07 10:56:26;;;;;;;3.17;1.83;;;24.70;62.10;;;;;;5050066;28;20024;-49
836,2021/08/07 10:58:52;;;;;;;2.30;1.55;;;24.70;62.30;;;;;;5050865;28;20104;-54
837,2021/08/07 11:01:26;;;;;;;2.33;1.65;;;24.60;62.20;;;;;;5051017;28;20108;-51
838,2021/08/07 11:04:00;;;;;;;3.00;1.73;;;24.60;62.20;;;;;;5050935;28;20048;-54
839,2021/08/07 11:06:44;;;;;;;4.50;1.90;;;24.60;62.20;;;;;;5050623;28;20025;-47
840,2021/08/07 11:09:30;;;;;;;4.35;2.10;;;24.60;62.60;;;;;;5050755;28;20049;-55
841,2021/08/07 11:12:13;;;;;;;3.25;2.22;;;24.60;62.90;;;;;;5050728;28;20029;-47
842,2021/08/07 11:14:56;;;;;;;7.00;1.85;;;24.70;62.70;;;;;;5053419;28;20021;-50
843,2021/08/07 11:17:21;;;;;;;3.35;1.70;;;24.70;62.60;;;;;;5052482;28;20663;-51
844,2021/08/07 11:20:00;;;;;;;3.28;2.00;;;24.70;63.00;;;;;;5053662;28;20108;-48
845,2021/08/07 11:22:31;;;;;;;9.48;1.70;;;24.80;62.90;;;;;;5053548;28;20070;-47
846,2021/08/07 11:25:06;;;;;;;3.53;1.70;;;24.80;62.90;;;;;;5053374;28;20111;-53
847,2021/08/07 11:30:27;;;;;;;4.00;1.50;;;24.90;62.80;;;;;;5054566;28;20476;-48
848,2021/08/07 11:32:56;;;;;;;3.95;1.80;;;25.00;62.80;;;;;;5053422;28;20028;-54
849,2021/08/07 11:35:34;;;;;;;3.53;1.70;;;25.10;62.70;;;;;;5054258;28;20017;-48
850,2021/08/07 11:38:05;;;;;;;4.20;1.77;;;25.10;62.60;;;;;;5054116;28;20033;-49
851,2021/08/07 11:40:45;;;;;;;3.65;1.73;;;25.20;62.50;;;;;;5054090;28;20032;-55
852,2021/08/07 11:43:29;;;;;;;3.42;1.60;;;25.20;62.40;;;;;;5054088;28;20492;-50
853,2021/08/07 11:45:54;;;;;;;3.03;1.85;;;25.30;62.30;;;;;;5054007;28;20056;-52
854,2021/08/07 11:48:49;;;;;;;3.50;1.42;;;25.30;62.20;;;;;;5050448;28;20053;-51
855,2021/08/07 11:51:27;;;;;;;3.00;1.50;;;25.30;62.20;;;;;;5053473;28;20049;-53
856,2021/08/07 11:53:53;;;;;;;2.00;1.38;;;25.30;62.20;;;;;;5049712;28;20552;-54
857,2021/08/07 11:56:23;;;;;;;2.45;1.75;;;25.30;62.30;;;;;;5053523;28;20104;-49
858,2021/08/07 11:58:50;;;;;;;2.83;1.80;;;25.30;61.50;;;;;;5053460;28;20113;-51
859,2021/08/07 12:01:16;;;;;;;2.78;1.92;;;25.20;60.80;;;;;;5053509;28;20086;-51
860,2021/08/07 12:03:51;;;;;;;2.33;1.67;;;25.20;60.80;;;;;;5053813;28;20100;-53
861,2021/08/07 12:06:43;;;;;;;2.45;1.75;;;25.10;61.00;;;;;;5052320;28;20124;-54
862,2021/08/07 12:09:13;;;;;;;3.38;1.73;;;25.00;61.00;;;;;;5052656;28;20021;-55
863,2021/08/07 12:11:39;;;;;;;4.90;1.95;;;25.00;61.00;;;;;;5053638;28;20017;-57
864,2021/08/07 12:14:04;;;;;;;3.30;2.03;;;24.90;61.20;;;;;;5053933;28;20877;-55
865,2021/08/07 12:16:34;;;;;;;4.65;1.90;;;24.90;61.50;;;;;;5053273;28;20439;-52
866,2021/08/07 12:19:01;;;;;;;3.35;2.15;;;24.80;61.50;;;;;;5053549;28;20132;-50
867,2021/08/07 12:21:29;;;;;;;3.30;2.03;;;24.80;61.70;;;;;;5052352;28;20056;-53
868,2021/08/07 12:24:02;;;;;;;2.40;1.70;;;24.80;61.80;;;;;;5052917;28;20495;-53
869,2021/08/07 12:26:28;;;;;;;2.17;1.83;;;24.80;61.90;;;;;;5052811;28;20141;-53
870,2021/08/07 12:29:01;;;;;;;3.05;2.10;;;24.80;62.00;;;;;;5051988;28;20043;-50
871,2021/08/07 12:31:57;;;;;;;2.95;1.80;;;24.80;62.20;;;;;;5051663;28;20035;-51
872,2021/08/07 12:34:26;;;;;;;3.40;2.20;;;24.70;62.30;;;;;;5048314;28;20041;-54
873,2021/08/07 12:37:02;;;;;;;4.53;2.13;;;24.70;62.40;;;;;;5052223;28;20057;-51
874,2021/08/07 12:39:36;;;;;;;5.63;2.30;;;24.70;62.40;;;;;;5052741;28;20029;-53
875,2021/08/07 12:42:01;;;;;;;3.03;1.90;;;24.70;62.60;;;;;;5052718;28;20427;-54
876,2021/08/07 12:44:27;;;;;;;2.90;1.88;;;24.70;62.70;;;;;;5034346;28;20021;-49
877,2021/08/07 12:46:56;;;;;;;4.30;2.25;;;24.70;62.60;;;;;;5052405;28;20457;-53
878,2021/08/07 12:49:37;;;;;;;3.35;2.20;;;24.80;62.50;;;;;;5052492;28;20063;-52
879,2021/08/07 12:52:14;;;;;;;4.38;1.83;;;24.80;62.40;;;;;;5052142;28;20017;-50
880,2021/08/07 12:54:40;;;;;;;3.95;2.20;;;24.90;62.40;;;;;;5051387;28;20476;-47
881,2021/08/07 12:57:22;;;;;;;3.60;1.95;;;24.90;62.20;;;;;;5051102;28;20118;-47
882,2021/08/07 12:59:48;;;;;;;3.38;1.95;;;25.00;61.90;;;;;;5052599;28;20040;-48
883,2021/08/07 13:02:14;;;;;;;2.55;1.85;;;25.10;61.90;;;;;;5052163;28;20025;-56
884,2021/08/07 13:04:43;;;;;;;6.88;2.17;;;25.10;62.00;;;;;;5052475;28;20365;-51
885,2021/08/07 13:07:09;;;;;;;3.67;2.10;;;25.00;62.30;;;;;;5052623;28;20518;-42
886,2021/08/07 13:09:36;;;;;;;3.15;1.90;;;25.10;62.50;;;;;;5052522;28;20033;-47
887,2021/08/07 13:12:19;;;;;;;6.43;2.10;;;25.10;61.90;;;;;;5052410;28;20025;-44
888,2021/08/07 13:14:54;;;;;;;6.20;2.33;;;25.20;62.10;;;;;;5052173;28;20025;-62
889,2021/08/07 13:17:36;;;;;;;5.82;2.28;;;25.20;62.20;;;;;;5051896;28;20025;-57
890,2021/08/07 13:20:03;;;;;;;4.50;2.20;;;25.30;62.50;;;;;;5052091;28;20032;-59
891,2021/08/07 13:22:28;;;;;;;3.22;2.13;;;25.30;62.50;;;;;;5051948;28;20032;-49
892,2021/08/07 13:24:55;;;;;;;3.45;1.88;;;25.30;62.70;;;;;;5052293;28;20029;-52
893,2021/08/07 13:27:32;;;;;;;2.65;2.00;;;25.20;62.90;;;;;;5051527;28;20087;-55
894,2021/08/07 13:29:59;;;;;;;5.47;2.20;;;25.30;62.90;;;;;;5051021;28;20082;-56
895,2021/08/07 13:32:27;;;;;;;8.10;2.63;;;25.20;63.00;;;;;;5050489;28;20025;-55
896,2021/08/07 13:34:52;;;;;;;6.78;2.30;;;25.20;63.20;;;;;;5052135;28;20025;-54
897,2021/08/07 13:37:18;;;;;;;4.60;2.30;;;25.20;63.30;;;;;;5051158;28;20078;-49
898,2021/08/07 13:39:46;;;;;;;10.10;2.63;;;25.20;63.80;;;;;;5051854;28;20024;-55
899,2021/08/07 13:42:12;;;;;;;10.48;2.92;;;25.20;64.60;;;;;;5051739;28;20025;-55
900,2021/08/07 13:44:38;;;;;;;13.70;3.08;;;25.20;65.10;;;;;;5034018;28;20166;-59
901,2021/08/07 13:47:04;;;;;;;13.18;3.10;;;25.20;65.30;;;;;;5051667;28;20104;-57
902,2021/08/07 13:49:29;;;;;;;7.00;2.67;;;25.20;65.60;;;;;;5051957;28;20032;-56
903,2021/08/07 13:51:55;;;;;;;7.93;2.92;;;25.20;65.50;;;;;;5051754;28;20086;-59
904,2021/08/07 13:54:20;;;;;;;14.15;3.33;;;25.30;65.80;;;;;;5050854;28;20028;-63
905,2021/08/07 13:56:46;;;;;;;11.88;3.03;;;25.30;65.90;;;;;;5050681;28;20036;-58
906,2021/08/07 13:59:11;;;;;;;10.75;2.78;;;25.30;65.70;;;;;;5035571;28;20120;-60
907,2021/08/07 14:01:37;;;;;;;7.60;3.20;;;25.30;66.20;;;;;;5046656;28;20040;-53
908,2021/08/07 14:06:38;;;;;;;6.95;3.40;;;25.30;66.30;;;;;;6082084;22;20329;-50
909,2021/08/07 14:09:03;;;;;;;13.70;3.58;;;25.30;66.30;;;;;;5051325;28;20552;-60
910,2021/08/07 14:11:29;;;;;;;8.52;3.20;;;25.30;66.60;;;;;;5051882;28;20025;-40
911,2021/08/07 14:13:54;;;;;;;5.72;3.00;;;25.30;66.30;;;;;;5017471;28;20383;-41
912,2021/08/07 14:16:20;;;;;;;8.18;3.28;;;25.30;66.70;;;;;;5034014;28;20064;-39
913,2021/08/07 14:18:45;;;;;;;7.60;2.70;;;25.30;66.40;;;;;;5051561;28;20032;-39
914,2021/08/07 14:21:11;;;;;;;4.07;2.65;;;25.30;66.20;;;;;;5052019;28;20037;-49
915,2021/08/07 14:23:36;;;;;;;4.78;2.17;;;25.30;66.50;;;;;;5034021;28;20036;-40
916,2021/08/07 14:26:02;;;;;;;3.15;2.10;;;25.10;64.00;;;;;;5033828;28;20108;-40
917,2021/08/07 14:28:28;;;;;;;4.13;1.88;;;24.90;62.30;;;;;;5051648;28;20387;-42
918,2021/08/07 14:30:53;;;;;;;2.55;2.13;;;24.60;64.30;;;;;;5033752;28;20021;-41
919,2021/08/07 14:33:19;;;;;;;4.72;2.42;;;24.50;65.30;;;;;;5035085;28;20112;-39
920,2021/08/07 14:35:44;;;;;;;4.78;2.35;;;24.50;65.90;;;;;;5051754;28;20025;-39
921,2021/08/07 14:38:10;;;;;;;6.35;2.17;;;24.60;66.00;;;;;;5051669;28;20025;-44
922,2021/08/07 14:40:35;;;;;;;2.95;2.30;;;24.60;66.10;;;;;;5051455;28;20493;-46
923,2021/08/07 14:43:01;;;;;;;4.78;2.47;;;24.70;65.80;;;;;;5034314;28;20017;-45
924,2021/08/07 14:45:26;;;;;;;3.60;2.22;;;24.80;65.60;;;;;;5051532;28;20552;-49
925,2021/08/07 14:47:52;;;;;;;3.45;2.00;;;24.80;65.30;;;;;;5051875;28;20108;-55
926,2021/08/07 14:50:17;;;;;;;3.53;1.98;;;24.90;65.40;;;;;;5038182;28;20028;-44
927,2021/08/07 14:52:43;;;;;;;4.07;2.33;;;24.90;65.30;;;;;;5056014;28;20020;-44
928,2021/08/07 14:55:08;;;;;;;5.85;2.22;;;25.00;65.10;;;;;;5038700;28;20021;-44
929,2021/08/07 14:57:34;;;;;;;2.83;2.10;;;25.00;65.10;;;;;;5037773;28;20029;-49
930,2021/08/07 14:59:59;;;;;;;3.28;2.05;;;25.10;64.80;;;;;;5038139;28;20036;-43
931,2021/08/07 15:02:25;;;;;;;3.40;2.00;;;25.10;64.70;;;;;;5057262;28;20021;-44
932,2021/08/07 15:04:50;;;;;;;5.65;2.33;;;25.20;64.60;;;;;;5056179;28;20033;-48
933,2021/08/07 15:07:16;;;;;;;3.78;2.30;;;25.20;64.70;;;;;;5037097;28;20049;-48
934,2021/08/07 15:09:41;;;;;;;2.70;2.30;;;25.20;64.70;;;;;;5038065;28;20032;-45
935,2021/08/07 15:12:07;;;;;;;2.92;2.20;;;25.20;64.70;;;;;;5038956;28;20033;-45
936,2021/08/07 15:14:33;;;;;;;4.80;2.28;;;25.20;64.70;;;;;;5056955;28;20021;-46
937,2021/08/07 15:16:58;;;;;;;2.72;1.90;;;25.30;64.90;;;;;;5038408;28;20118;-45
938,2021/08/07 15:19:24;;;;;;;4.25;2.10;;;25.30;64.80;;;;;;5038349;28;20021;-48
939,2021/08/07 15:21:49;;;;;;;3.92;2.30;;;25.30;64.70;;;;;;5037911;28;20029;-45
940,2021/08/07 15:24:15;;;;;;;5.07;2.25;;;25.30;64.60;;;;;;5037705;28;20029;-50
941,2021/08/07 15:26:40;;;;;;;3.65;2.08;;;25.30;64.60;;;;;;5037534;28;20029;-47
942,2021/08/07 15:29:06;;;;;;;5.25;2.10;;;25.30;64.70;;;;;;5038025;28;20116;-46
943,2021/08/07 15:31:31;;;;;;;3.22;2.05;;;25.30;64.80;;;;;;5037870;28;20056;-47
944,2021/08/07 15:33:57;;;;;;;3.00;2.13;;;25.30;64.90;;;;;;5037345;28;20029;-45
945,2021/08/07 15:36:22;;;;;;;4.07;2.03;;;25.30;65.00;;;;;;5037446;28;20032;-44
946,2021/08/07 15:38:48;;;;;;;4.72;2.30;;;25.30;65.00;;;;;;5037399;28;20120;-45
947,2021/08/07 15:41:14;;;;;;;5.72;2.15;;;25.30;64.90;;;;;;5038142;28;20463;-45
948,2021/08/07 15:43:40;;;;;;;3.33;2.25;;;25.30;64.80;;;;;;5037833;28;20048;-52
949,2021/08/07 15:46:05;;;;;;;5.30;2.45;;;25.40;64.70;;;;;;5037419;28;20029;-46
950,2021/08/07 15:48:31;;;;;;;5.60;1.75;;;25.60;64.50;;;;;;5036918;28;20033;-46
951,2021/08/07 15:50:57;;;;;;;4.72;1.88;;;25.80;64.10;;;;;;5055988;28;20025;-50
952,2021/08/07 15:53:22;;;;;;;4.82;2.00;;;25.80;64.00;;;;;;5036940;28;20120;-50
953,2021/08/07 15:55:48;;;;;;;5.93;1.90;;;25.80;64.00;;;;;;5055641;28;20103;-50
954,2021/08/07 15:58:14;;;;;;;3.13;1.80;;;25.80;64.00;;;;;;5037153;28;20031;-48
955,2021/08/07 16:00:39;;;;;;;2.53;1.83;;;25.70;64.10;;;;;;5037345;28;20079;-49
956,2021/08/07 16:03:05;;;;;;;9.00;2.50;;;25.70;64.30;;;;;;5037613;28;20521;-51
957,2021/08/07 16:05:30;;;;;;;6.03;1.95;;;25.70;64.30;;;;;;5037258;28;20033;-50
958,2021/08/07 16:07:56;;;;;;;5.82;1.90;;;25.70;64.30;;;;;;5055517;28;20057;-50
959,2021/08/07 16:10:21;;;;;;;8.93;2.45;;;25.60;64.20;;;;;;5037406;28;20391;-54
960,2021/08/07 16:12:47;;;;;;;5.15;2.15;;;25.60;64.30;;;;;;5054711;28;20032;-55
961,2021/08/07 16:15:12;;;;;;;4.25;2.10;;;25.60;64.40;;;;;;5036825;28;20021;-53
962,2021/08/07 16:17:38;;;;;;;4.25;2.00;;;25.70;64.20;;;;;;5055730;28;20029;-53
963,2021/08/07 16:20:04;;;;;;;2.58;1.48;;;25.80;64.00;;;;;;5054464;28;20036;-52
964,2021/08/07 16:22:29;;;;;;;3.35;1.77;;;25.80;63.80;;;;;;5054041;28;20055;-55
965,2021/08/07 16:24:55;;;;;;;10.10;2.10;;;25.90;63.60;;;;;;5035823;28;20033;-51
966,2021/08/07 16:27:20;;;;;;;2.78;1.40;;;26.00;63.60;;;;;;5035836;28;20029;-54
967,2021/08/07 16:29:46;;;;;;;3.67;1.60;;;26.00;63.50;;;;;;5054166;28;20049;-53
968,2021/08/07 16:32:11;;;;;;;5.93;1.63;;;25.90;63.50;;;;;;5054454;28;20029;-52
969,2021/08/07 16:34:37;;;;;;;5.57;1.52;;;25.80;63.60;;;;;;5054289;28;20029;-51
970,2021/08/07 16:37:03;;;;;;;3.10;1.70;;;25.80;63.60;;;;;;5054663;28;20036;-53
971,2021/08/07 16:39:28;;;;;;;2.67;1.27;;;25.80;63.50;;;;;;5054726;28;20514;-52
972,2021/08/07 16:41:54;;;;;;;2.45;1.30;;;25.70;63.50;;;;;;5053440;28;20040;-54
973,2021/08/07 16:44:19;;;;;;;6.07;1.80;;;25.80;63.40;;;;;;5054553;28;20090;-53
974,2021/08/07 16:46:46;;;;;;;2.80;1.50;;;25.70;63.20;;;;;;5054379;28;20487;-50
975,2021/08/07 16:49:12;;;;;;;3.20;1.38;;;25.70;63.10;;;;;;5054499;28;20048;-49
976,2021/08/07 16:51:38;;;;;;;2.75;1.40;;;25.70;63.10;;;;;;5054315;28;20075;-50
977,2021/08/07 16:54:03;;;;;;;3.47;1.33;;;25.70;63.00;;;;;;5054265;28;20029;-49
